"proposition","source"
"Je lutterai contre les déserts médicaux en retirant le conventionnement aux médecins qui s’installent en zone surdotée. Cette mesure n’entrave en rien la liberté d’installation du médecin, qui peut toujours choisir de s’y installer : il ne bénéficiera simplement plus du conventionnement. J’encouragerai le développement de maisons de santé pluridisciplinaires rassemblant des médecins libéraux, appuyés pour les tâches administratives par un gestionnaire des fonctions support.","https://www.benoithamon2017.fr/thematique/pour-un-progres-social-et-ecologique/"
"J’abrogerai immédiatement la loi Travail. Je rétablirai la hiérarchie des normes afin que notre code du travail continue de prévaloir sur les accords négociés par les branches et les entreprises, sauf lorsque les accords apportent une protection supplémentaire aux salarié.e.s.","https://www.benoithamon2017.fr/thematique/pour-un-progres-social-et-ecologique/"
"Je porterai le budget consacré au développement et à la diffusion de l’art et de la culture à 1% du PIB. Émancipatrice et créatrice de lien social, la culture est essentielle à la République. C’est la raison pour laquelle je souhaite rééquilibrer le soutien de l’Etat entre tous les acteurs de la culture. Les droits culturels reconnus par l’article 28 de la loi NOTRe nous permettront d’élaborer des schémas directeurs entre l’Etat et les collectivités locales pour que tous les territoires bénéficient des fonds dont ils ont besoin, et de mettre l’accent sur le soutien à l’entrepreneuriat culturel. ","https://www.benoithamon2017.fr/thematique/pour-un-progres-social-et-ecologique/"
"Je mettrai en place un revenu universel d’existence pour éradiquer la grande précarité et contribuer à définir un nouveau rapport au travail. Pour la première étape, dès 2018, le RSA sera augmenté de 10% à hauteur de 600€ et versé automatiquement à tous les ayant-droits. La même année, un revenu d’existence sera versé à tous les jeunes de 18 à 25 ans quel que soit leur niveau de ressources. Une grande conférence citoyenne sera ensuite lancée. Elle permettra de fixer le périmètre du revenu universel (montant, financement, articulation avec les autres allocations sociales, calendrier de mise en oeuvre). Ce revenu sera ensuite étendu à l’ensemble de la population. A terme, il atteindra la somme de 750 euros.","https://www.benoithamon2017.fr/thematique/pour-un-progres-social-et-ecologique/"
"Je créerai un statut unique pour tous les actifs afin de dépasser la distinction entre salariat et travail indépendant. Je rendrai ce statut plus protecteur selon le degré de vulnérabilité des actifs, à partir du socle commun du droit du travail et de la protection sociale. J’améliorerai la couverture retraite complémentaire et la couverture accident du travail/maladie professionnelle des indépendants. J’équilibrerai les prélèvements sociaux afin qu’à revenus égaux, un indépendant et un salarié cotisent du même montant.","https://www.benoithamon2017.fr/thematique/pour-un-progres-social-et-ecologique/"
"Je lutterai contre le salariat déguisé des entreprises ubérisées. Je requalifierai leurs « collaborateurs » en salariés. Il faut que l’employeur.euse paye ses cotisations sociales, et que ces salarié.e.s bénéficient de leurs droits (congés, protection contre les licenciements abusifs). Je lutterai contre leurs montages d’optimisation fiscale, semblables à ceux utilisés par les autres géants du net (les GAFA). Je refuserai que ces entreprises bénéficient de nos services publics sans contribuer à l’impôt.","https://www.benoithamon2017.fr/thematique/pour-un-progres-social-et-ecologique/"
"Je lancerai un plan massif d’investissements dans la rénovation énergétique des bâtiments afin de réduire notre consommation d’énergie et lutter contre la précarité énergétique. Ce plan comprendra trois priorités : La réhabilitation thermique des logements sociaux; Un plan ambitieux d’accompagnement des initiatives du secteur privé avec des aides renforcées et conditionnées au recours à des artisans labellisés (soutien des PME) ; Une protection des foyers en situation de précarité énergétique avec un véritable bouclier “énergie” (chèque énergie…) pour éviter les situations de privation.","https://www.benoithamon2017.fr/thematique/pour-un-progres-social-et-ecologique/"
"J’organiserai avec nos partenaires européens l’annulation de la dette accumulée depuis 2008 par les pays membres les plus endettés et détenue par les Etats membres de l’UE. Il faut desserrer l’étau qui étouffe les pays du Sud. Je ferai de même pour une mutualisation de la dette européenne : il faut que les Etats soient solidaires en se portant caution mutuellement sur leur dette actuelle et en émettant pour l’avenir une dette commune. Enfin, j’œuvrerai pour faire évoluer les statuts de la BCE et faciliter le financement direct de la dette des Etats.","https://www.benoithamon2017.fr/thematique/pour-un-progres-social-et-ecologique/"
"Je créerai une taxe sur la richesse créée par les robots afin de financer notre protection sociale. Lorsqu’un.e travailleur.euse est remplacé par une machine, la richesse créée bénéficie essentiellement aux actionnaires. Je propose donc de taxer cette richesse – en appliquant les cotisations sociales sur l’ensemble de la valeur ajoutée et non plus seulement sur le travail – pour qu’elle finance prioritairement des mesures telles que le revenu universel plutôt que les dividendes.","https://www.benoithamon2017.fr/thematique/pour-un-progres-social-et-ecologique/"
"Je donnerai corps à un statut de l’artiste afin de donner toute la reconnaissance qu’ils mérite à celles et ceux qui se consacrent à la création. Tout en préservant le statut de l’intermittent, il nous faut prévoir une couverture sociale pour les artistes qui n’entrent pas dans le champ du spectacle comme les auteurs, les scénaristes ou les compositeurs. Ce progrès social pourra s’inscrire dans le cadre du statut unique de l’actif que j’appelle de mes voeux. ","https://www.benoithamon2017.fr/thematique/pour-un-progres-social-et-ecologique/"
"Je soutiendrai la création d’une nouvelle section « Economie et société » au Conseil National des Universités. A l’opposé de la « bien-pensance économique » qui nous a mené dans le mur avec la crise des subprimes, nous avons besoin d’économistes capables d’imaginer des politiques diverses, d’éclairer le débat public en ouvrant l’économie sur le monde et sur ses liens avec les autres sciences sociales. C’est avant tout un enjeu démocratique. ","https://www.benoithamon2017.fr/thematique/pour-un-progres-social-et-ecologique/"
"Je sanctuariserai les biens communs en inscrivant leur protection dans la Constitution. L’eau, l’air et la terre, ainsi que la biodiversité, sont des biens communs que nous devons protéger contre toute dégradation ou risque de captation privée. Face au marché qui privilégie leur exploitation à court-terme, les Etats doivent être les garants de la protection des ressources naturelles et les citoyens les vigies de cette protection.","https://www.benoithamon2017.fr/thematique/pour-un-progres-social-et-ecologique/"
"J’interdirai immédiatement les pesticides dangereux et les perturbateurs endocriniens pour prévenir les effets nocifs de ces substances sur la santé de nos enfants et de nos concitoyen.ne.s. J’appliquerai le principe de précaution : je retirerai les autorisations de tous les pesticides dangereux et j’interdirai l’importation des denrées alimentaires utilisant une substance interdite en France. Au niveau européen, nous labelliserons les pesticides pour conditionner les subventions de la PAC au respect de hautes exigences en la matière.","https://www.benoithamon2017.fr/thematique/pour-un-progres-social-et-ecologique/"
