"proposition","source"
"Nous porterons progressivement le budget de la défense à 2% du PIB en 2025. Cet effort est nécessaire, pour faire face au renforcement des effectifs post-attentats et pour moderniser nos équipements, mobilisés sur plusieurs fronts.","https://en-marche.fr/emmanuel-macron/le-programme/defense"
"Nous engagerons la modernisation de la force de dissuasion nucléaire, garante de la sécurité de la France. Cet effort concernera ses composantes sous-marines et aéroportées.","https://en-marche.fr/emmanuel-macron/le-programme/defense"
"Nous continuerons de renouveler les équipements conventionnels pour permettre la préservation de notre autonomie, de notre efficacité et de la sécurité de nos soldats. L’ensemble des forces est concerné : drones et satellites pour le renseignement, avions de transport, patrouilleurs maritimes, véhicules de combat.","https://en-marche.fr/emmanuel-macron/le-programme/defense"
"Nous maintiendrons la force opérationnelle terrestre à 77.000 hommes, effectifs nécessaires pour maintenir le niveau d’engagement actuel de nos troupes, tout en leur laissant le temps nécessaire pour s’entraîner et se reposer.","https://en-marche.fr/emmanuel-macron/le-programme/defense"
"Nous renforcerons la priorité en matière de cyberdéfense et de cybersécurité. Nous l’avons vu lors des élections américaines, Internet est un nouveau terrain d’opération des conflits et des tensions. Il en va de notre souveraineté.","https://en-marche.fr/emmanuel-macron/le-programme/defense"
"Nous développerons (vraiment) l’Europe de la défense.","https://en-marche.fr/emmanuel-macron/le-programme/defense"
"Nous activerons les « groupements tactiques ».","https://en-marche.fr/emmanuel-macron/le-programme/defense"
"Nous soutiendrons la création d’un Fonds européen de défense, pour financer des programmes communs, tel un drone européen.","https://en-marche.fr/emmanuel-macron/le-programme/defense"
"Nous revitaliserons la réserve opérationnelle et la garde nationale.","https://en-marche.fr/emmanuel-macron/le-programme/defense"
"Nous créerons un service militaire obligatoire et universel d'un mois.","https://en-marche.fr/emmanuel-macron/le-programme/defense"
"Nous adapterons progressivement l'opération Sentinelle, en fonction de l'appréciation de la menace terroriste sur le territoire.","https://en-marche.fr/emmanuel-macron/le-programme/defense"
"Nous mettrons en place une assurance-chômage pour tous, parce que dans un monde qui se transforme, le chômage ne peut plus être un risque contre lequel certains se couvrent à titre individuel, et d’autres par des garanties collectives.","https://en-marche.fr/emmanuel-macron/le-programme/emploi-ch%C3%B4mage-securites-professionnelles"
"Nous ouvrirons les droits à l'assurance-chômage aux salariés qui démissionnent.","https://en-marche.fr/emmanuel-macron/le-programme/emploi-ch%C3%B4mage-securites-professionnelles"
"La contrepartie de ces droits nouveaux sera un contrôle accru de la recherche d’emploi, pour lequel les moyens de Pôle Emploi seront renforcés et les sanctions rendues justes et crédibles. À l'arrivée à Pôle Emploi, un bilan de compétence sera réalisé dans les 15 jours. Si plus de deux emplois décents, selon des critères de salaire et de qualification, sont refusés ou que l'intensité de la recherche d'emploi est insuffisante, alors les allocations seront suspendues.","https://en-marche.fr/emmanuel-macron/le-programme/emploi-ch%C3%B4mage-securites-professionnelles"
"Parce que tous seront désormais couverts quel que soit leur statut, l’État prendra en charge le pilotage du système d’assurance-chômage. Il y associera l’ensemble des parties prenantes, et en particulier les partenaires sociaux.","https://en-marche.fr/emmanuel-macron/le-programme/emploi-ch%C3%B4mage-securites-professionnelles"
"La majeure partie des contributions actuelles des entreprises pour la formation sera progressivement convertie en droits individuels pour les actifs. Chacun pourra s’adresser directement aux prestataires de formation, selon ses besoins. Le système sera simple.","https://en-marche.fr/emmanuel-macron/le-programme/emploi-ch%C3%B4mage-securites-professionnelles"
"Les droits seront d’autant plus élevés que les besoins de qualification sont importants. Le système sera juste.","https://en-marche.fr/emmanuel-macron/le-programme/emploi-ch%C3%B4mage-securites-professionnelles"
"Chacun disposera d’une information complète sur les résultats concrets de chaque formation, de chaque accompagnement (retour à l’emploi, impact sur la trajectoire salariale…) car tous les organismes seront obligés de se soumettre à une labellisation et d’afficher leurs performances : plus personne ne s’engagera dans une formation sans savoir à quoi elle mène ni quelle est sa qualité. Le système sera transparent.","https://en-marche.fr/emmanuel-macron/le-programme/emploi-ch%C3%B4mage-securites-professionnelles"
"Nous investirons massivement dans l’acquisition des compétences.","https://en-marche.fr/emmanuel-macron/le-programme/emploi-ch%C3%B4mage-securites-professionnelles"
"Nous reconstruirons une politique de mobilité plus juste et porterons à 200 000 le nombre de billets aidés chaque année pour la mobilité des ultra-marins en France et dans leur environnement régional.","https://en-marche.fr/emmanuel-macron/le-programme/outre-mer"
"Nous négocierons au sein de l’Union Européenne afin que les normes prennent mieux en compte les spécificités de nos territoires d’outre-mer, par exemple, dans l’agriculture ou la politique de la pêche.","https://en-marche.fr/emmanuel-macron/le-programme/outre-mer"
"Nous consacrerons 1 milliard d’euros sur 5 ans au financement des investissements collectifs des territoires ultra-marins, dans le cadre du plan d’investissement.","https://en-marche.fr/emmanuel-macron/le-programme/outre-mer"
"Nous financerons nos actions dans la formation, le tourisme, la santé et la transition énergétique grâce au plan d’investissement.","https://en-marche.fr/emmanuel-macron/le-programme/outre-mer"
"Pour favoriser la compétitivité et la pérennité des entreprises et le développement de l'emploi, nous engagerons une évaluation des dispositifs de soutien existants.","https://en-marche.fr/emmanuel-macron/le-programme/outre-mer"
"Nous supprimerons la caisse qui gère le Régime Social des Indépendants (RSI) pour l’adosser au régime général et nous renforcerons l’activité de Bpifrance dans les Outre-mer.","https://en-marche.fr/emmanuel-macron/le-programme/outre-mer"
"Nous donnerons aux Outre-mer les moyens d’une croissance bleue plus dynamique, en organisant la filière maritime et en développant le volet ultra-marin de la « task force maritime » créée par le Comité interministériel de la mer.","https://en-marche.fr/emmanuel-macron/le-programme/outre-mer"
"Sur la base de stratégies de développement du tourisme, concertées territoire par territoire, nous ferons un bilan des aides fiscales et sociales.","https://en-marche.fr/emmanuel-macron/le-programme/outre-mer"
"Nous organiserons une conférence internationale sur la biodiversité.","https://en-marche.fr/emmanuel-macron/le-programme/outre-mer"
"Nous localiserons dans les Outre-mer l'Agence française pour la biodiversité.","https://en-marche.fr/emmanuel-macron/le-programme/outre-mer"
"Afin de faire de l’enseignement supérieur ultra-marin un secteur d’excellence, nous soutiendrons le développement d’un ERASMUS caribéen et nous ferons de nos universités outre-mer des pôles universitaires internationaux rayonnant dans leurs régions.","https://en-marche.fr/emmanuel-macron/le-programme/outre-mer"
"Nous développerons et étendrons, avec les collectivités territoriales concernées, les services de l’État et les représentants des entreprises, tous les dispositifs qui ont fait leurs preuves.","https://en-marche.fr/emmanuel-macron/le-programme/outre-mer"
"Nous organiserons en partenariat avec les collectivités territoriales et le milieu associatif un réseau de structures d'accueil capable de mettre en œuvre la réponse pénale en direction des mineurs.","https://en-marche.fr/emmanuel-macron/le-programme/outre-mer"
"Nous favoriserons le recrutement au sein des départements d'outre-mer en créant des écoles de formation de gendarmes adjoints et d'adjoints de sécurité en Martinique, en Guadeloupe et à la Réunion (pour la Réunion et Mayotte) et nous créerons parallèlement des classes d'excellence pour accompagner les jeunes ultra-marins qui souhaitent entreprendre une carrière dans les métiers de la sécurité et de la justice.","https://en-marche.fr/emmanuel-macron/le-programme/outre-mer"
"Nous demanderons à l’Autorité de la Concurrence d’évaluer l’efficacité des mesures prises pour réduire les écarts de prix.","https://en-marche.fr/emmanuel-macron/le-programme/outre-mer"
"Nous favoriserons la poursuite des évolutions en cours en répondant favorablement aux demandes d’habilitation des collectivités concernées.","https://en-marche.fr/emmanuel-macron/le-programme/outre-mer"
"Nous mènerons à bien les consultations institutionnelles prévues en Nouvelle-Calédonie.","https://en-marche.fr/emmanuel-macron/le-programme/outre-mer"
"Nous rassemblerons les aides et subventions existantes dans une aide unique qui sera fonction de la taille de l’entreprise et du niveau de qualification de l’apprenti.","https://en-marche.fr/emmanuel-macron/le-programme/alternance-apprentissage"
"Nous développerons pour les entreprises un guichet unique permettant d’enregistrer le contrat d’apprentissage et la demande des aides.","https://en-marche.fr/emmanuel-macron/le-programme/alternance-apprentissage"
"Nous ferons converger les deux contrats d’alternance qui existent aujourd’hui en un contrat unique, souple, adapté à la demande des entreprises et des branches, sans borne supérieure d’âge.","https://en-marche.fr/emmanuel-macron/le-programme/alternance-apprentissage"
"Nous affecterons la totalité de la taxe d’apprentissage au financement de l’apprentissage.","https://en-marche.fr/emmanuel-macron/le-programme/alternance-apprentissage"
"Nous unifierons la grille de rémunération des alternants et confierons aux branches le soin d’augmenter par accords les montants des planchers fixés par la loi.","https://en-marche.fr/emmanuel-macron/le-programme/alternance-apprentissage"
"Nous associerons dans l’enseignement secondaire comme dans le supérieur, les branches professionnelles dans la définition des programmes et dans l’organisation des formations. Les branches définiront également les métiers pour lesquels les formations par apprentissage devront être privilégiées.","https://en-marche.fr/emmanuel-macron/le-programme/alternance-apprentissage"
"Nous développerons un « sas » de préparation à l’alternance à la fin du collège pour nous assurer que les élèves maîtrisent les savoirs de base et sont en capacité de s’intégrer à leur entreprise d’accueil. Car la validation des savoirs de base est la condition d’un accès réussi au lycée professionnel ou au CFA.","https://en-marche.fr/emmanuel-macron/le-programme/alternance-apprentissage"
"Nous développerons l’alternance dans tous les lycées professionnels.","https://en-marche.fr/emmanuel-macron/le-programme/alternance-apprentissage"
"Nous ouvrirons la possibilité de préparer des licences professionnelles sur trois ans et en alternance.","https://en-marche.fr/emmanuel-macron/le-programme/alternance-apprentissage"
"Nous agirons pour que l’alternance devienne la voie d’accès dominante aux emplois de qualification moyenne.","https://en-marche.fr/emmanuel-macron/le-programme/alternance-apprentissage"
"Nous rendrons publics les taux d’insertion professionnelle et le salaire à l’issue des formations en apprentissage en vue d’une labellisation des CFA et des lycées professionnels.","https://en-marche.fr/emmanuel-macron/le-programme/alternance-apprentissage"
