"proposition","source"
"Rendre obligatoire pour toute religion la constitution d'association cultuelle (ou son équivalent l’association diocésaine) pour la gestion des lieux de culte. Ainsi le culte musulman accédera comme tous les autres à tous les leviers de financement, la contrepartie étant la transparence des comptes.","https://www.fillon2017.fr/projet/laicite/"
"Créer un statut de Fondation à objet religieux pour que les dons et legs de personnes privées puissent être recueillis en toute transparence et contribuer à un meilleur financement du culte, notamment musulman (construction d’édifices, formation des ministres du culte). Il est indispensable de mettre fin, lorsqu’ils existent, aux financements étrangers des cultes et en particulier au système dit des « imams détachés ». Conformément aux principes de la loi de 1905, l’implantation des aumôniers dans les hôpitaux, les prisons et les écoles sera consolidée.","https://www.fillon2017.fr/projet/laicite/"
"Veiller à la diffusion et à la bonne compréhension des règles découlant du principe de laïcité et du refus du communautarisme. Ces principes devront être diffusés et expliqués à l'école, dans les modules de contrat d'intégration républicaine et dans les formations de fonctionnaire. Les sanctions en cas de méconnaissance de ces obligations devront être identifiées et appliquées.","https://www.fillon2017.fr/projet/laicite/"
"Permettre à chacun d'être enterré sur le sol français, dans le respect de ses croyances. Je souhaite engager une réflexion avec l'ensemble des acteurs concernés - et au premier chef les maires avec comme objectif de donner une base juridique solide aux cimetières confessionnels.","https://www.fillon2017.fr/projet/laicite/"
"Mobiliser tous les acteurs locaux pour lutter contre la radicalisation et au premier chef les représentants du culte musulman. Ils doivent prendre leurs responsabilités et ce sujet doit figurer en bonne place du dialogue local entre préfets, élus et responsables musulmans. L'insertion des responsables religieux dans les cellules de suivi auprès des préfets doit être poursuivie et amplifiée.","https://www.fillon2017.fr/projet/laicite/"
"Permettre aux préfets, au-delà de la fin de l'état d'urgence, d'ordonner une fermeture des lieux de culte lorsque leur activité est de nature à porter une atteinte grave à l'ordre public et à la sécurité intérieure et modifier, si nécessaire, le régime juridique de dissolution des associations et des groupements, qui remonte à 1936, pour permettre la dissolution d’associations prônant le djihad. Je mobiliserai chaque fois que nécessaire les articles de la loi de 1905 sanctionnant l’appel à provocation contre les principes et lois de la République.","https://www.fillon2017.fr/projet/laicite/"
"Créer un statut de prestataire indépendant pour les auto-entrepreneurs qui le souhaiteront. Il les protègera en minimisant ainsi les possibilités de requalification. Ce statut sera valable pour une durée de 3 ans.","https://www.fillon2017.fr/projet/travail-independant/"
"Relever les niveaux de chiffres d’affaires plafonds de l’auto-entreprise à 50 000 euros pour les services et à 120 000 euros pour l’achat-revente. La franchise de TVA sera étendue jusqu’à ces plafonds.","https://www.fillon2017.fr/projet/travail-independant/"
"Définir, en concertation avec tous les acteurs, les exigences liées aux niveaux de qualifications nécessaires pour exercer certaines activités et certains métiers, sans que cela ne mette en danger le prestataire ou le consommateur.","https://www.fillon2017.fr/projet/travail-independant/"
"Revenir sur les dispositions les plus contraignantes de la loi Pinel, qui complexifient les conditions d’exercice des auto-entrepreneurs.","https://www.fillon2017.fr/projet/travail-independant/"
"Permettre à tous les jeunes de devenir auto-entrepreneurs (artisans et commerçants) dès 16 ans, sans être nécessairement émancipés.","https://www.fillon2017.fr/projet/travail-independant/"
"Améliorer le statut de chercheur-entrepreneur.","https://www.fillon2017.fr/projet/travail-independant/"
"Faciliter les passerelles entre le secteur public et le secteur privé, notamment pour les auto-entrepreneurs fonctionnaires en revenant sur la loi Lebranchu qui a considérablement restreint les possibilités.","https://www.fillon2017.fr/projet/travail-independant/"
"Rendre plus fluides les parcours entre le salariat et l’activité indépendante :  - simplifier la situation fiscale et sociale des pluri-statuts, - autoriser le travailleur indépendant à mettre en sommeil sa structure juridique quand il devient salarié sans pour autant avoir à payer des charges sur cette structure.","https://www.fillon2017.fr/projet/travail-independant/"
"Instaurer une franchise de TVA jusqu’aux plafonds de 50 000 euros de chiffre d’affaires pour les services et de 120 000 euros pour l’achat-revente pour les artisans et les commerçants.","https://www.fillon2017.fr/projet/travail-independant/"
"Simplifier le régime comptable des artisans et commerçants.","https://www.fillon2017.fr/projet/travail-independant/"
"Augmenter le plafond de requalification des entreprises artisanales en établissements industriels à 50 salariés.","https://www.fillon2017.fr/projet/travail-independant/"
"Réformer radicalement le RSI, transformé en une Caisse de Protection des Indépendants (CPI) : - Confier à cette caisse le calcul des contributions, la collecte et la gestion. - Mettre en place un calcul et un paiement en temps réel des cotisations liées au salaire lorsque c’est applicable. - Permettre aux indépendants qui ont de faibles revenus et versent la cotisation retraite minimum de valider quatre trimestres de retraite au lieu de trois aujourd'hui.","https://www.fillon2017.fr/projet/travail-independant/"
"Mettre en place un système d’assurance pour les travailleurs indépendants en cas de perte d’activité, sur une base volontaire. Ce fonds sera adossé à la Caisse de Protection des Indépendants (CPI).","https://www.fillon2017.fr/projet/travail-independant/"
"Encourager la prévoyance par le système de retraite complémentaire.","https://www.fillon2017.fr/projet/travail-independant/"
"Désigner un interlocuteur unique pour chaque personne  en situation d’exclusion. La désignation d’un référent de parcours chargé d’accompagner chaque personne sur la base d’un projet individuel et global d’insertion et d’autonomie sera généralisée dans le souci d’une relation humaine et continue.","https://www.fillon2017.fr/projet/solidarite-lutte-pauvrete/"
"Simplifier les démarches : développer l’outil numérique au service des personnes. Pour que chaque personne accompagnée n’ait plus à exposer plusieurs fois sa situation, je mettrai en place un dossier social unique.","https://www.fillon2017.fr/projet/solidarite-lutte-pauvrete/"
"Saisir, avant la fin de l’année 2017, le Parlement d’un projet de plan pluriannuel de lutte contre la pauvreté et l’exclusion.","https://www.fillon2017.fr/projet/solidarite-lutte-pauvrete/"
"Mobiliser la Nation en faveur des jeunes confrontés à la pauvreté et à la précarité. La « Garantie Jeunes » sera accordée à tous les jeunes les plus éloignés de l’emploi à la condition qu’ils respectent les termes du Contrat d’insertion qui leur sera proposé par une Mission locale ou par toute autre instance habilitée.","https://www.fillon2017.fr/projet/solidarite-lutte-pauvrete/"
"Désengorger l’accès aux structures d’accueil et d’hébergement d’urgence. Chaque citoyen français, chaque étranger en situation régulière doit pouvoir accéder à l’hébergement d’urgence. Les demandeurs d’asile seront accueillis dans des structures spécifiques leur permettant de vivre dans des conditions décentes en attendant que leur situation administrative soit réglée.","https://www.fillon2017.fr/projet/solidarite-lutte-pauvrete/"
"Favoriser le logement pérenne : mieux vaut un vrai logement qu’un hébergement d’urgence. Je veillerai à ce qu’une part des attributions de logements sociaux soit réservée aux personnes accueillies dans les structures d’urgence et je multiplierai les formules de type pensions de famille et logement en studios avec un accompagnement social adapté qui sont aujourd’hui expérimentées par de nombreuses associations.","https://www.fillon2017.fr/projet/solidarite-lutte-pauvrete/"
