"proposition","source"
"Étendre à toutes les entreprises l'obligation d'adopter un plan ou un accord d'entreprise contre les inégalités de salaires et de carrière entre hommes et femmes, aujourd'hui limitée aux entreprises de plus de 50 salariés","https://laec.fr/section/32/reprimer-les-inegalites-femmes-hommes-dans-les-entreprises"
"Augmenter les sanctions financières et pénales contre les entreprises qui ne respectent pas cette égalité, pouvant aller jusqu'à l'interdiction d'accès aux marchés publics","https://laec.fr/section/32/reprimer-les-inegalites-femmes-hommes-dans-les-entreprises"
"Revaloriser les métiers occupés majoritairement par des femmes (qualifications, grilles salariales…) et agir pour l'égal accès à toutes les formations et à tous les métiers","https://laec.fr/section/32/reprimer-les-inegalites-femmes-hommes-dans-les-entreprises"
"Favoriser des congés parentaux de durée identique entre les parents","https://laec.fr/section/32/reprimer-les-inegalites-femmes-hommes-dans-les-entreprises"
"Faire l'inventaire et l'évaluation des accords déjà appliqués pour construire une autre politique internationale des échanges commerciaux, basée sur la coopération et inspirée de la charte de La Havane, permettant de pratiquer des politiques de protection des droits sociaux et de l'emploi","https://laec.fr/section/17/instaurer-un-protectionnisme-solidaire-pour-produire-en-france"
"Adopter des mesures anti-dumping d'urgence sur les industries stratégiques (acier, photovoltaïque…), augmenter immédiatement les droits de douane pour les pays aux droits sociaux limités (travail des enfants, absence de droits syndicaux), prendre des mesures de rétorsion commerciales contre les paradis fiscaux","https://laec.fr/section/17/instaurer-un-protectionnisme-solidaire-pour-produire-en-france"
"Imposer le respect de normes sociales et écologiques pour la commercialisation des produits importés en France","https://laec.fr/section/17/instaurer-un-protectionnisme-solidaire-pour-produire-en-france"
"Réviser le Code des marchés publics pour favoriser les entreprises de l'économie sociale et solidaire, les produits et services écologiques, l'activité locale","https://laec.fr/section/17/instaurer-un-protectionnisme-solidaire-pour-produire-en-france"
"Séparer les banques d'affaires et de détail","https://laec.fr/section/19/mettre-au-pas-la-finance"
"Contrôler les mouvements de capitaux","https://laec.fr/section/19/mettre-au-pas-la-finance"
"Instaurer une taxe réelle sur les transactions financières","https://laec.fr/section/19/mettre-au-pas-la-finance"
"Interdire les ventes de gré à gré et la titrisation, plafonner les effets de levier et les rendements actionnariaux exorbitants","https://laec.fr/section/19/mettre-au-pas-la-finance"
"Identifier et interdire les produits dérivés toxiques et inutiles au financement ou à la couverture des flux économiques réels","https://laec.fr/section/19/mettre-au-pas-la-finance"
