"proposition","source"
"Retrouver notre liberté et la maîtrise de notre destin en restituant au peuple français sa souveraineté (monétaire, législative, territoriale, économique). Pour cela, une négociation sera engagée avec nos partenaires européens suivie d’un référendum sur notre appartenance à l’Union européenne. L’objectif est de parvenir à un projet européen respectueux de l’indépendance de la France, des souverainetés nationales et qui serve les intérêts des peuples. ","https://www.marine2017.fr/programme/"
"Organiser un référendum en vue de réviser la Constitution et conditionner toute révision future de la Constitution à un référendum. Élargir le champ d’application de l’article 11 de la Constitution.","https://www.marine2017.fr/programme/"
"Permettre la représentation de tous les Français par le scrutin proportionnel à toutes les élections. À l’Assemblée nationale, la proportionnelle sera intégrale avec une prime majoritaire de 30 % des sièges pour la liste arrivée en tête et un seuil de 5 % des suffrages pour obtenir des élus.","https://www.marine2017.fr/programme/"
"Abaisser le nombre de députés à 300 (contre 577 aujourd’hui) et le nombre de sénateurs à 200 (contre 348 aujourd’hui).","https://www.marine2017.fr/programme/"
"Créer un véritable référendum d’initiative populaire, sur proposition d’au moins 500 000 électeurs.","https://www.marine2017.fr/programme/"
"Conserver trois niveaux d’administration (au lieu de six actuellement) : communes, départements et État. Cette réforme sera un gage de :","https://www.marine2017.fr/programme/"
"Garantir la liberté d’expression et les libertés numériques par leur inscription dans les libertés fondamentales protégées par la Constitution, tout en renforçant la lutte contre le cyber-djihadisme et la pédo-criminalité. En parallèle, simplifier pour ceux qui en sont victimes les procédures visant à faire reconnaître la diffamation ou l’injure.","https://www.marine2017.fr/programme/"
"Créer une charte à valeur constitutionnelle qui inclura la protection des données personnelles des Français, notamment par une obligation de stockage de ces données sur des serveurs localisés en France.","https://www.marine2017.fr/programme/"
"Défendre les droits des femmes : lutter contre l’islamisme qui fait reculer leurs libertés fondamentales ; mettre en place un plan national pour l’égalité salariale femme/homme et lutter contre la précarité professionnelle et sociale.","https://www.marine2017.fr/programme/"
"Assurer le respect de la liberté d’association dans les seules limites exigées par l’ordre public et soutenir les petites structures associatives culturelles, sportives, humanitaires, sociales, éducatives, etc. qui animent la vie de nos territoires. Instaurer une véritable liberté syndicale par la suppression du monopole de représentativité et moraliser la vie syndicale par un contrôle public du financement des syndicats.","https://www.marine2017.fr/programme/"
"Garantir la liberté de scolariser ses enfants selon ses choix, tout en contrôlant plus strictement la compatibilité avec les valeurs de la République des enseignements dispensés dans les établissements privés hors-contrat.","https://www.marine2017.fr/programme/"
"Rétablir la sécurité en veillant à la protection des libertés individuelles.","https://www.marine2017.fr/programme/"
