"proposition","source"
"Créer un grand ministère de la Culture englobant le patrimoine, le tourisme, le spectacle vivant, les arts, les lettres, le cinéma et la communication.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Consacrer 1% du budget de la nation à la culture.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Relancer la commande publique.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Consacrer 0,5% du budget de tous les grands programmes d’équipements publics à la création artistique.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Réaliser l’inventaire des richesses patrimoniales du pays ne faisant pas l’objet d’un classement « Monument historique » afin qu’elles soient intégrées dans les plans d’urbanisme et préservées.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Lancer un programme massif de numérisation du patrimoine français et procéder à sa mise en ligne sur un portail unique des données culturelles publiques numérisées (état civil compris) de façon à faciliter leur diffusion auprès du grand public.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Harmoniser les outils de protection du patrimoine et de l’environnement","http://www.nda-2017.fr/theme/culture-patrimoine"
"Intégrer le respect du patrimoine bâti et paysager dans la mise en œuvre du développement durable : la mise en œuvre des exigences du développement durable ne doit pas se faire au détriment de notre patrimoine et de la qualité des terroirs","http://www.nda-2017.fr/theme/culture-patrimoine"
"Créer une labellisation de ce patrimoine non protégé dont l’inventaire aurait démontré l’intérêt. Porter à connaissance de tout document d’urbanisme les immeubles ainsi labellisés.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Développer la Fondation du patrimoine pour la sauvegarde du patrimoine non protégé et la doter de moyens d’action adaptés.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Renforcer les formations aux métiers du patrimoine.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Rétablir les crédits d’entretien et de restauration du patrimoine amputés ces dernières années et consacrer 400 M d’€ par an (contre 380 M€ en 2012, 328 M€ en 2015 et 326 M€ en 2016) afin de mettre fin à la dégradation des monuments et objets d'art.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Sanctuariser le dispositif Malraux d'exonération fiscale pour les propriétaires d'immeubles anciens faisant l'objet d'une restauration complète en déplafonnant la déduction fiscale.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Créer un fond de sauvegarde du patrimoine rural qui ouvrirait une déduction fiscale de 66%, dans une limite de 7 500 €, pour les dons aux communes de moins de 1000 habitants.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Créer un tirage de loto lors des Journées du patrimoine : le produit viendra accompagner les actions en faveur du patrimoine.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Utiliser les chantiers publics de restauration du patrimoine comme outils d’apprentissage et de réinsertion pour les jeunes non qualifiés, chômeurs de longue durée.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Mettre en valeur les DOM-COM et utiliser le tourisme comme levier de croissance : la remarquable biodiversité, la production artisanale et la diversité des gastronomies doivent être développées.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Créer une délégation interministérielle aux patrimoines et aux sites.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Clarifier le rôle des collectivités territoriales en déterminant les compétences des régions, des communautés de communes et des communes.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Créer une délégation interministérielle entre les ministères du patrimoine et de l’environnement","http://www.nda-2017.fr/theme/culture-patrimoine"
"Simplifier et clarifier les compétences des collectivités locales sur le patrimoine. Les communes doivent pouvoir gérer un budget pour l’entretien du patrimoine.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Développer la Fondation du patrimoine pour la sauvegarde du patrimoine non protégé et la doter de moyens d’action adaptés.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Eveiller les enfants à la connaissance du patrimoine national et à l’art dès l’école primaire, par un enseignement adapté et en partenariat avec les institutions et les associations reconnues.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Mettre en place un véritable enseignement d’histoire de l’art dans les collèges et les lycées, avec création d’un CAPES dans cette discipline.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Introduire un contingent de places allouées aux écoles, collèges et lycées dans les théâtres et salles de spectacles publics, et élargir à l’ensemble des institutions d’envergure régionales et nationales le jour d’ouverture pour les scolaires","http://www.nda-2017.fr/theme/culture-patrimoine"
"Faire de l’enseignement artistique une priorité et favoriser l’intervention d’artistes dans le système éducatif en doublant le plafond d’heures prises en compte dans l’assurance chômage (110 heures contre 55 actuellement).","http://www.nda-2017.fr/theme/culture-patrimoine"
"Permettre à tous les élèves de primaire de préparer au moins une œuvre artistique (pièce de théâtre, concert, film, exposition photographique…).","http://www.nda-2017.fr/theme/culture-patrimoine"
"Instaurer la gratuité des musées le dimanche pour les Français et les résidents en France.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Offrir un « ticket découverte culturelle » par an à tous les Français à partir de 16 ans.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Mettre les services publics audiovisuels au service de la transmission de la culture avec des programmes ambitieux, exploitant les synergies avec les institutions culturelles françaises*","http://www.nda-2017.fr/theme/culture-patrimoine"
"Lancer un plan de sauvegarde des églises et des établissements culturels (salles de cinéma, musées…) en milieu rural.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Développer le mécénat par le biais d’un assouplissement de la loi Aillagon : porter le plafond de réduction de l’impôt sur les sociétés de 0,5 à 1% du chiffre d’affaires des entreprises.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Conserver le régime de l’intermittence, seul adapté aux enjeux créatifs des métiers artistiques.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Instaurer la transparence dans l’attribution des subventions et veiller au renouvellement des jurys.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Abroger la loi Hadopi et assurer une juste rémunération des auteurs grâce au mécanisme d’une licence globale, prélevée sous la forme d’une contribution forfaitaire mensuelle sur chaque abonnement Internet*","http://www.nda-2017.fr/theme/culture-patrimoine"
"Créer une plateforme publique unique de diffusion des contenus culturels regroupant les contenus de l’audiovisuel public, de la BNF, des grands musées, etc.","http://www.nda-2017.fr/theme/culture-patrimoine"
"Créer un ministère de la Mer et de l’Outre-mer, pour renforcer la visibilité de l’Outre-mer et en faire le pivot de la politique nationale de valorisation des océans","http://www.nda-2017.fr/theme/outre-mer"
"Définir et en mettre en œuvre une stratégie nationale de promotion des atouts de l’Outre-mer, pour développer l’économie de la mer, le tourisme, l’agriculture, et déployer une véritable continuité territoriale avec l’Hexagone","http://www.nda-2017.fr/theme/outre-mer"
"Inscrire dans le cahier des charges des chaînes de télévisions nationales publiques, un nombre d’heures obligatoires d’émissions aux heures de grande écoute, visant à améliorer la connaissance par la communauté nationale de l’Outre-mer","http://www.nda-2017.fr/theme/outre-mer"
"Augmenter dans les programmes scolaires la part des enseignements consacrés à l’histoire et à la géographie des départements et des collectivités d’Outre-mer","http://www.nda-2017.fr/theme/outre-mer"
"Inclure les prévisions météorologiques des DOM COM dans toutes les météos des chaînes nationales","http://www.nda-2017.fr/theme/outre-mer"
"Améliorer la continuité territoriale en divisant par deux le prix des billets d’avion et plus largement le coût du transport entre l’Outre-mer et l’Hexagone, dans les deux sens et pour tous","http://www.nda-2017.fr/theme/outre-mer"
"Remplacer l’octroi de mer par la TVA pour les produits importés de l’Hexagone et de l’Union européenne ne concurrençant pas la production locale, pour stimuler la concurrence et faire baisser les prix","http://www.nda-2017.fr/theme/outre-mer"
"Favoriser la concurrence dans la distribution afin de lutter contre la vie chère","http://www.nda-2017.fr/theme/outre-mer"
"Engager un plan de construction et de rénovation des écoles primaires en partenariat avec les communes","http://www.nda-2017.fr/theme/outre-mer"
"Renforcer l’apprentissage du Français et les moyens de lutte contre l’illettrisme dans le cadre d’un partenariat rénové entre l’Education nationale et les structures de l’Education populaire","http://www.nda-2017.fr/theme/outre-mer"
"Augmenter le nombre de places offertes par le service militaire adapté","http://www.nda-2017.fr/theme/outre-mer"
"Définir et mettre en œuvre, en lien avec les collectivités locales, un plan de rattrapage de l’encadrement médical pour atteindre les ratios hexagonaux","http://www.nda-2017.fr/theme/outre-mer"
"Concentrer et renforcer la défiscalisation pour les investissements réalisés outre-mer dans les secteurs d’avenir ou moteurs en matière de développement économique et de création d’emplois","http://www.nda-2017.fr/theme/outre-mer"
"Déployer un plan public d’installation de panneaux photovoltaïques sur l’ensemble des bâtiments et équipements publics, en lien avec les collectivités territoriales","http://www.nda-2017.fr/theme/outre-mer"
