"proposition","source"
"Sortir de la monarchie républicaine. → Une Assemblée de 400 députés, à l’image des Français, élue à la proportionnelle, avec 20% de jeunes de moins de 30 ans. → Développer des votations citoyennes sur des sujets du quotidien, les conférences de consensus et les assemblées citoyennes tirées au sort.","http://avecjadot.fr/lafrancevive/renouveler-democratie-400-deputes-elus-a-proportionnelle-votations-assemblees-citoyennes/"
"Faire de l’égalité Femmes-Hommes un impératif. → 	 Rendre publique la liste des entreprises ne respectant pas l’égalité salariale.","http://avecjadot.fr/lafrancevive/rendre-publique-liste-entreprises-ne-respectant-legalite-salariale-femmes-hommes/"
"Soutenir les politiques locales facilitant l’expression des énergies créatives dans les territoires : incubateurs culturels, lieux tiers dédiés aux expérimentations artistiques et aux rencontres non marchandes avec les publics, dispositifs de mutualisation et de coopération en faveur des nouveaux projets et artistes, etc.","http://avecjadot.fr/lafrancevive/politiques-culturelles-locales-incubateurs-lieux-dedies-dispositifs-de-cooperation-etc/"
"Lutter contre la publicité à destination des jeunes. → 	 Interdire la publicité télévisée destinée aux enfants et supprimer les publicités sur tous les supports lors des programmes jeunesse","http://avecjadot.fr/lafrancevive/suppression-de-publicite-a-destination-de-jeunesse-programmes-jeunesse/"
"Lutter contre la souffrance au travail. → 	 Moduler les cotisations accidents du travail et maladies professionnelles avec l’adoption d’un plan pour le bien-être au travail dans les entreprises. → 	 Égalité de chacun devant la retraite : renforcer le compte pénibilité et le porter jusqu’à 7 ans. → 	 Reconnaître le burn-out comme maladie professionnelle. → 	 Généraliser le droit automatique à la déconnexion.","http://avecjadot.fr/lafrancevive/lutter-contre-souffrance-travail-cotisations-retraite-compte-penibilite-etc/"
"Faire une France accessible aux personnes en situation de handicap. → 	 Garantir l’accessibilité de tous les services publics en créant une Agence nationale de l’accessibilité universelle.","http://avecjadot.fr/lafrancevive/faire-france-accessible-creer-lagence-nationale-de-laccessibilite-universelle/"
"Interdire les ventes d’armes aux pays non démocratiques.","http://avecjadot.fr/lafrancevive/interdiction-ventes-darmes-aux-pays-non-democratiques/"
"Les jeunes sont des adultes comme les autres. → 	 Rendre le RSA accessible pour les 18-25 ans.","http://avecjadot.fr/lafrancevive/jeunes-adultes-autres-rsa-accessible-18-25-ans/"
"Mettre en place une fiscalité plus juste et plus lisible. → Réformer la fiscalité du patrimoine en tenant compte du patrimoine net. → Fusionner l’impôt sur le revenu avec la CSG et la rendre progressive. → Individualiser l’impôt sur le revenu.","http://avecjadot.fr/lafrancevive/fiscalite-plus-reformer-fiscalite-patrimoine-individualiser-limpot-revenu/"
"Donner le choix à nos aîné-es. → 	 Créer au moins autant de places en EHPAD public qu’en établissements privés sur chaque territoire.","http://avecjadot.fr/lafrancevive/donner-choix-aux-aine-es-autant-de-places-ehpad-public-quen-etablissements-prives/"
"Tirer parti de l’extraordinaire réseau que constituent les bureaux de Poste, pour en faire des Maison des services publics.","http://avecjadot.fr/lafrancevive/faire-reseau-de-maisons-services-publics-appuye-reseau-bureaux-de-poste/"
"Faire de la formation un droit tout au long de la vie. → Créer un compte individuel de formation crédité de 16 semestres de formation à utiliser à tout moment de sa vie après 16 ans.","http://avecjadot.fr/lafrancevive/faire-de-formation-droit-creer-compte-individuel-de-formation-long-de-vie/"
"Favoriser la Recherche & Développement. → Mieux cibler les soutiens à l’innovation en simplifiant et plafonnant le crédit impôt recherche. → Privilégier les innovations qui participent à la transition énergétique","http://avecjadot.fr/lafrancevive/simplifier-plafonner-credit-impot-recherche-privilegier-transition-energetique/"
